Models,Run 1,Run 2,Run 3,Run 4,Run 5,Mean,Std
Unet,0.4355,0.4468,0.4731,0.4568,0.4502,0.4524,0.012405
Unet-channel,0.4338,0.4268,0.4817,0.4604,0.4634,0.4531,0.0202
Unet-cosine,0.722,0.713,0.716,0.7236,0.7207,0.719,0.004047
Unet-regular,0.5947,0.617,0.6016,0.6133,0.6753,0.6206,0.0286
Unet-hybrid400,0.7354,0.7188,0.724,0.7295,0.727,0.727,0.005535
Unet-hybrid4,0.7544,0.751,0.743,0.7544,0.747,0.75,0.004353
Unet-hybrid2,0.774,0.761,0.76,0.769,0.7627,0.765,0.005344
Unet-hybrid1,0.721,0.75,0.732,0.734,0.7324,0.734,0.00924
Unet-hybrid2_swapcoeffs,0.747,0.734,0.753,0.722,0.7427,0.7397,0.010765
Unet-hybrid400_swapcoeffs,0.714,0.752,0.727,0.7266,0.7275,0.7295,0.01238
Unet-hybrid1_swapcoeffs,0.7085,0.7163,0.701,0.7,0.71,0.707,0.005966
