,epoch,loss,DICE,IoU,lr
0,1,1.462393386023385,0.7760347496895563,0.35466774588539485,[0.001]
1,2,1.3995853378659202,0.7486692752156939,0.43767201332818895,[0.001]
2,3,1.3101331279391335,0.7131551646050953,0.5018087270713988,[0.001]
3,4,1.2224077951340449,0.6685081067539397,0.5587111484436762,[0.001]
4,5,1.1295710291181291,0.6208836407888503,0.6084332097144354,[0.001]
5,6,1.0667318417912437,0.5958914983840216,0.6376911117917016,[0.001]
6,7,1.002803351197924,0.5639392648424421,0.6674984721910386,[0.001]
7,8,0.921567786307562,0.5249874563444228,0.6871227763947987,[0.001]
8,9,0.8573451922053382,0.4892852987561907,0.7058388221831549,[0.001]
9,10,0.7942032757259551,0.45373828070504324,0.7206584640911647,[0.001]
10,11,0.7694294906797863,0.4325977081344241,0.7317200955890474,[0.0005]
11,12,0.7359558230354672,0.41840875716436476,0.7322983684993926,[0.0005]
12,13,0.6994677838825044,0.4012449383735657,0.7470914437657311,[0.0005]
13,14,0.6891812710534959,0.37777215526217506,0.7505589127540588,[0.0005]
14,15,0.6950303571564811,0.38198299635024296,0.7432600600378854,[0.0005]
15,16,0.6584971873533159,0.3567496140797933,0.7590368900980268,[0.0005]
16,17,0.644062876701355,0.35175853400003343,0.7561119794845581,[0.0005]
17,18,0.6262808271816799,0.3375733352842785,0.760641770703452,[0.0005]
18,19,0.6003473940349761,0.3264989909671602,0.7692833486057463,[0.0005]
19,20,0.5966540802092779,0.3205095472789946,0.7708062302498591,[0.0005]
20,21,0.5737734422797248,0.3133398379598345,0.773963919707707,[0.0005]
21,22,0.5530017685322535,0.30529152211688815,0.7741476609593346,[0.0005]
22,23,0.5594534235341209,0.3003147670200893,0.7766894981974647,[0.0005]
23,24,0.5283260302884238,0.28627467439288184,0.7843198719478789,[0.0005]
24,25,0.5471083493459792,0.29379206328164964,0.7775655757813227,[0.0005]
25,26,0.5256336955797105,0.2875926352682568,0.7806081573168436,[0.0005]
26,27,0.5060501907552991,0.27983466784159344,0.7861175451959882,[0.0005]
27,28,0.48736977719125296,0.26610143127895536,0.7881854148138137,[0.0005]
28,29,0.4922257661819458,0.273612638314565,0.7884446410905748,[0.0005]
29,30,0.47029175360997516,0.25792390675771804,0.7950359809966314,[0.0005]
30,31,0.47323886553446454,0.25618375766844975,0.7942048254467192,[0.0005]
31,32,0.4691137543746403,0.25157725243341356,0.7968655512446449,[0.0005]
32,33,0.4574019852138701,0.24416939133689516,0.8016339852696374,[0.0005]
33,34,0.4651550068741753,0.25289236080078853,0.7958755578313556,[0.0005]
34,35,0.46453342125529334,0.2489237870488848,0.7965867718060812,[0.0005]
35,36,0.4472273105666751,0.24870346557526363,0.8003012963703701,[0.0005]
36,37,0.4409380086830684,0.2425610593387059,0.796946474484035,[0.0005]
37,38,0.44991855252356755,0.2434979592050825,0.799423547018142,[0.0005]
38,39,0.4339716973758879,0.239294551667713,0.8009210739816938,[0.0005]
39,40,0.4238587334042504,0.23293553363709224,0.8041550204867408,[0.0005]
40,41,0.4325981594267346,0.23614717097509474,0.8031051754951477,[0.0005]
41,42,0.432640342485337,0.23614536296753658,0.8011898455165681,[0.0005]
42,43,0.40628120586985633,0.2229160269101461,0.8076657000042143,[0.0005]
43,44,0.41335430031731013,0.2280037800470988,0.807461732909793,[0.0005]
44,45,0.4216348755927313,0.23213394766762144,0.8040849112329029,[0.0005]
45,46,0.4035368079230899,0.22445965380895705,0.8082238123530433,[0.0005]
46,47,0.4209888733568646,0.229682499454135,0.8045007132348561,[0.0005]
47,48,0.39886281745774405,0.22069791101274036,0.8125139247803461,[0.0005]
48,49,0.3856857092607589,0.21288531734829858,0.8151508938698542,[0.0005]
49,50,0.38407374847502934,0.21404952378500075,0.8181236471448626,[0.0005]
50,51,0.3878607608023144,0.21191896143413724,0.8146956733294896,[0.0005]
51,52,0.40198459937458947,0.21839719159262522,0.8081093515668597,[0.0005]
52,53,0.38468200110253836,0.21296465680712745,0.8175355877195086,[0.0005]
53,54,0.3719679173969087,0.2067006230354309,0.8136483913376218,[0.0005]
54,55,0.39124069185484023,0.21492389270237514,0.8152606345358349,[0.0005]
55,56,0.3783057374613626,0.20514187074842907,0.817207566329411,[0.0005]
56,57,0.37239731067702886,0.2027449920063927,0.8179118661653428,[0.0005]
57,58,0.3672147904123579,0.20039262374242148,0.8197348997706458,[0.0005]
58,59,0.37167496056783766,0.20250965300060453,0.8190801285562062,[0.0005]
59,60,0.37154269218444824,0.20019510246458508,0.8211701313654581,[0.0005]
60,61,0.3664284944534302,0.197269564583188,0.8201882385072254,[0.0005]
61,62,0.36288134115082876,0.19786418335778372,0.8237594735054743,[0.0005]
62,63,0.36299330847603933,0.19620189780280703,0.8237908369018918,[0.0005]
63,64,0.3723113749708448,0.20164531469345093,0.8228254204704648,[0.0005]
64,65,0.3667263871147519,0.1989569067955017,0.8223969084875924,[0.0005]
65,66,0.3614362194424584,0.19620951584407262,0.8233292613710675,[0.0005]
66,67,0.35585705297333853,0.19397574095498948,0.8240152256829398,[0.0005]
67,68,0.3571032072816576,0.1962001635914757,0.8221626906167894,[0.0005]
68,69,0.3463730159259978,0.18617635113852365,0.8288858731587728,[0.0005]
69,70,0.35638257151558284,0.191058079401652,0.8237262055987403,[0.0005]
70,71,0.3473764104502542,0.18820995943886892,0.8292912585394723,[0.0005]
71,72,0.3494753000282106,0.18989488056727818,0.8276406299500239,[0.0005]
72,73,0.3380077722526732,0.18441328548249744,0.8290807945387704,[0.0005]
73,74,0.3560453128247034,0.19094395353680566,0.8274965343021211,[0.0005]
74,75,0.3385599000113351,0.18265060867582047,0.8321681618690491,[0.0005]
