,epoch,loss,DICE,IoU,lr
0,1,1.4669784253293818,0.7686863975091414,0.3415652405131947,[0.001]
1,2,1.357639659534801,0.7171946547248147,0.4789146279746836,[0.001]
2,3,1.2569968104362488,0.6653228293765675,0.5525513345544989,[0.001]
3,4,1.1641167348081416,0.626702915538441,0.6102441169998862,[0.001]
4,5,1.0981860783967106,0.6004558774557981,0.6426665484905243,[0.001]
5,6,0.972756801681085,0.5372328135100278,0.68450097062371,[0.001]
6,7,0.9314126941290769,0.5112421295859597,0.6952672519467094,[0.001]
7,8,0.8625296327200803,0.4794688820838928,0.7074235000393607,[0.001]
8,9,0.8204371251843192,0.45613852685148065,0.7203932865099474,[0.001]
9,10,0.7902968173677271,0.43297104131091724,0.7230399521914396,[0.001]
10,11,0.7374721061099659,0.41503544829108496,0.740231839093295,[0.0005]
11,12,0.6932277543978258,0.3834245502948761,0.7483798942782662,[0.0005]
12,13,0.7257052768360485,0.39673029563643714,0.7405280890789899,[0.0005]
13,14,0.6609411971135573,0.3670538149096749,0.7561486607248132,[0.0005]
14,15,0.658357089216059,0.36503083326599817,0.7550708434798501,[0.0005]
15,16,0.6037383729761298,0.34715027700770984,0.7619948007843711,[0.0005]
16,17,0.617600138891827,0.3502310975031419,0.7584697197784077,[0.0005]
17,18,0.5962606356902556,0.3393103697083213,0.7679170343008909,[0.0005]
18,19,0.5960621400312944,0.33206550641493365,0.7670577791604128,[0.0005]
19,20,0.5702754909341986,0.33289005810564215,0.76701681451364,[0.0005]
20,21,0.5423935949802399,0.3072864304889332,0.7756580195643685,[0.0005]
21,22,0.5293596861037341,0.30190414461222564,0.7789008698680184,[0.0005]
22,23,0.5420461256395687,0.2921833721074191,0.7824117378755049,[0.0005]
23,24,0.5311050658876245,0.2892379002137618,0.7810469161380421,[0.0005]
24,25,0.5096516460180283,0.2875347706404599,0.7809468589045785,[0.0005]
25,26,0.5005265040831133,0.28464259884574195,0.7831698628989133,[0.0005]
26,27,0.5001680525866422,0.2746043394912373,0.7862656062299554,[0.0005]
27,28,0.5111069814725355,0.2746680189262737,0.7866157943552191,[0.0005]
28,29,0.48262437229806726,0.2706526436588981,0.7905911749059503,[0.0005]
29,30,0.494846375151114,0.2798961969939145,0.787329378453168,[0.0005]
30,31,0.46657881276174024,0.2580783800645308,0.7964254509318959,[0.0005]
31,32,0.4659312096509067,0.264186601747166,0.7927529107440602,[0.0005]
32,33,0.4397395998239517,0.24883709441531787,0.7980824925682761,[0.0005]
33,34,0.46628000790422613,0.25354899872433057,0.7915385392579165,[0.0005]
34,35,0.45058095726099884,0.24982100454243747,0.7975162050940774,[0.0005]
35,36,0.41352538899941876,0.24084816195748068,0.8047708652236245,[0.0005]
36,37,0.4180286066098647,0.23517719994891773,0.8072508736090227,[0.0005]
37,38,0.423763093623248,0.24192601442337036,0.8055100468072024,[0.0005]
38,39,0.4228266734968532,0.23907444422895258,0.8018493489785627,[0.0005]
39,40,0.4214917909015309,0.24327760934829712,0.8024714995514263,[0.0005]
40,41,0.4227678112008355,0.245928786017678,0.8018895333463495,[0.0005]
41,42,0.4143508848818866,0.23996317115696994,0.8005405854095112,[0.0005]
42,43,0.4151877774433656,0.24164642529054123,0.8034940334883603,[0.0005]
43,44,0.39870541204105725,0.23004171523180875,0.8065567287531766,[0.0005]
44,45,0.4096858122132041,0.238810964606025,0.8057551383972168,[0.0005]
45,46,0.3938647657632828,0.2237066707827828,0.8098793490366503,[0.0005]
46,47,0.4038205648010427,0.23086235469037836,0.8094315691427751,[0.0005]
47,48,0.38151750645854254,0.2201559137214314,0.8134903934868899,[0.0005]
48,49,0.3912513703107834,0.222414263270118,0.8109190274368633,[0.0005]
49,50,0.3780735676938837,0.21620901877229864,0.8111801662228324,[0.0005]
50,51,0.3764061805876819,0.21220303123647516,0.8130821802399375,[0.0005]
51,52,0.3827283111485568,0.21370225061069836,0.8134467710148204,[0.0005]
52,53,0.3668950159441341,0.2135297656059265,0.815161255272952,[0.0005]
53,54,0.3895814662629908,0.2232795005494898,0.8136873976750807,[0.0005]
54,55,0.3806413263082504,0.22502860968763178,0.8151932602578943,[0.0005]
55,56,0.37660730156031524,0.2172869172963229,0.8154177584431388,[0.0005]
56,57,0.3594714646989649,0.20629660107872702,0.8198956494981592,[0.0005]
57,58,0.3651200370355086,0.21418420022184198,0.8159053406932137,[0.0005]
58,59,0.3687349408864975,0.21176826412027533,0.8158909028226679,[0.0005]
59,60,0.3605453629385341,0.20797488635236566,0.8172211376103488,[0.0005]
60,61,0.359828608957204,0.20533899014646356,0.8213011839173057,[0.0005]
61,62,0.3689577728509903,0.21101857857270676,0.819395897063342,[0.0005]
62,63,0.3644700592214411,0.2047759700905193,0.8190953189676459,[0.0005]
63,64,0.3402061326937242,0.19351953809911554,0.8268261524763975,[0.0005]
64,65,0.33607773753729736,0.19422023675658487,0.8274385116317056,[0.0005]
65,66,0.3472169285470789,0.19782695445147427,0.824836936863986,[0.0005]
66,67,0.3527214811606841,0.19876323504881424,0.8215131569992412,[0.0005]
67,68,0.3332088020714847,0.1928037161176855,0.8276149169965223,[0.0005]
68,69,0.3454870744185014,0.1995414441282099,0.8266625702381134,[0.0005]
69,70,0.3380548439242623,0.187396762045947,0.8274611532688141,[0.0005]
70,71,0.3295245875011791,0.18928081068125638,0.8306962549686432,[0.0005]
71,72,0.3287543776360425,0.19018889286301352,0.8295277898961847,[0.0005]
72,73,0.3140645812858235,0.1788942353291945,0.8377779153260317,[0.0005]
73,74,0.32814235307953576,0.18839477679946207,0.829455164345828,[0.0005]
74,75,0.3235853117975322,0.18428713083267212,0.8296368474310095,[0.0005]
75,76,0.33714883029460907,0.19349596446210687,0.8272973217747428,[0.0005]
76,77,0.3332557820461013,0.18943612412972885,0.8300804902206768,[0.0005]
77,78,0.3311331265351989,0.1863250651142814,0.8294254270466891,[0.0005]
78,79,0.3212404224005612,0.18456007133830676,0.8295661292292855,[0.0005]
79,80,0.3250776339660991,0.1833301457491788,0.8306853337721392,[0.0005]
80,81,0.33581856164065277,0.18653946573084051,0.8296214260838248,[0.0005]
81,82,0.31777048314159567,0.18405168706720526,0.8325297995047136,[0.0005]
82,83,0.3198450668291612,0.18460014733401212,0.8333536467768929,[0.0005]
83,84,0.32595446096225217,0.18513251434672962,0.8350145654244856,[0.0005]
84,85,0.3355519785122438,0.19108300317417493,0.8292990814555775,[0.0005]
