,epoch,loss,DICE,IoU,lr
0,1,1.4978712910697574,0.7784832744371324,0.29908584413074313,[0.001]
1,2,1.4170150359471638,0.7538884934924898,0.4175542408511752,[0.001]
2,3,1.3252114398138863,0.7131636171113878,0.4790862855457124,[0.001]
3,4,1.2524199656077795,0.6766492582502819,0.5472751600401742,[0.001]
4,5,1.170049332437061,0.6426556280681065,0.6085533301035563,[0.001]
5,6,1.0566687839371818,0.5942288693927583,0.6482694092251006,[0.001]
6,7,1.013933076744988,0.568460830620357,0.6584153601101467,[0.001]
7,8,0.9523650521323794,0.541250155085609,0.6834310662178766,[0.001]
8,9,0.9106701016426086,0.5254719768251691,0.6845052582877023,[0.001]
9,10,0.8503731858162653,0.49939369020007907,0.7012181736174083,[0.001]
10,11,0.7931136460531325,0.4607723525592259,0.7151110853467669,[0.0005]
11,12,0.769627693153563,0.44432995716730755,0.7217490162168231,[0.0005]
12,13,0.7462927585556394,0.44281723385765437,0.7260179746718634,[0.0005]
13,14,0.6931990072840736,0.41378685122444514,0.7382791666757493,[0.0005]
14,15,0.691984406539372,0.40513288974761963,0.7337917061079116,[0.0005]
15,16,0.6714927696046376,0.3991927050408863,0.7426050163450695,[0.0005]
16,17,0.6892070770263672,0.40421912783668157,0.7324860635257903,[0.0005]
17,18,0.6229017547198704,0.3751981116476513,0.7476404507954916,[0.0005]
18,19,0.6088380955514454,0.362258894102914,0.7515893833977836,[0.0005]
19,20,0.6146207466011956,0.37259578421002343,0.7466292863800412,[0.0005]
20,21,0.5727862758295876,0.34647002674284433,0.7593712437720526,[0.0005]
21,22,0.5861029383682069,0.3535599566641308,0.7522715784254528,[0.0005]
22,23,0.5760013972009931,0.34629541351681664,0.7534689193680173,[0.0005]
23,24,0.5399095557984852,0.3251776950699942,0.7639224188668388,[0.0005]
24,25,0.5266941501980736,0.320348668666113,0.7680457461447943,[0.0005]
25,26,0.5054433658009484,0.303491283030737,0.7743485286122277,[0.0005]
26,27,0.5153053402900696,0.3101523490179153,0.7684115937777928,[0.0005]
27,28,0.48891628640038626,0.29573382650102886,0.776286210332598,[0.0005]
28,29,0.48325076699256897,0.29249131963366554,0.7790190605890184,[0.0005]
29,30,0.4822564948172796,0.287572599592663,0.779946193808601,[0.0005]
30,31,0.4777719435237703,0.2900044180098034,0.7759165650322324,[0.0005]
31,32,0.47194857398668927,0.28488825048719135,0.7830604314804077,[0.0005]
32,33,0.4548142481417883,0.2753250002861023,0.7842726792607989,[0.0005]
33,34,0.4509039634750003,0.26946655341557096,0.7842322474434262,[0.0005]
34,35,0.4609836155459994,0.27491754577273414,0.7803558536938259,[0.0005]
35,36,0.4303318020843324,0.2598968432063148,0.7882170478502909,[0.0005]
36,37,0.4243025950023106,0.25342622257414316,0.79493795973914,[0.0005]
37,38,0.4303037410690671,0.26108962581271217,0.7920712913785662,[0.0005]
38,39,0.4424419786248888,0.263939414705549,0.7869043662434533,[0.0005]
39,40,0.4190826259908222,0.2508844023659116,0.7949788400105068,[0.0005]
40,41,0.4161252194926852,0.24912189018158687,0.7938410015333266,[0.0005]
41,42,0.40114252765973407,0.2393925218355088,0.7987188299496969,[0.0005]
42,43,0.3976521875177111,0.23562430483954294,0.8005920478275844,[0.0005]
43,44,0.41003560594149996,0.24509201731000627,0.7979923146111625,[0.0005]
44,45,0.384881500686918,0.23179848988850912,0.8026399669193086,[0.0005]
45,46,0.3756293285460699,0.22458634490058535,0.8059924330030169,[0.0005]
46,47,0.38234388686361764,0.22820920319784255,0.8047885781242734,[0.0005]
47,48,0.39721842606862384,0.236342796257564,0.800546700046176,[0.0005]
48,49,0.3735669255256653,0.22297043743587674,0.8095008106458754,[0.0005]
49,50,0.3740964248066857,0.22315166961579097,0.8073155000096276,[0.0005]
50,51,0.3714869689373743,0.22187780766260057,0.8085597639992124,[0.0005]
51,52,0.3683848366850898,0.22033346266973586,0.8101073049363636,[0.0005]
52,53,0.3851703533104488,0.2294426134654454,0.8033912352153233,[0.0005]
53,54,0.3658495190597716,0.2153631846110026,0.8123032450675964,[0.0005]
54,55,0.3659280964306423,0.2187678303037371,0.8119963748114449,[0.0005]
55,56,0.3582352754615602,0.2115643336659386,0.8155179222424825,[0.0005]
56,57,0.3460033777214232,0.2049367938722883,0.8176354936191014,[0.0005]
57,58,0.34127721474284217,0.20254200980776832,0.8199414525713239,[0.0005]
58,59,0.34328001737594604,0.20151115315301077,0.818798147496723,[0.0005]
59,60,0.3454827268918355,0.20483553693408058,0.8198204068910508,[0.0005]
60,61,0.3501927185626257,0.20468102466492427,0.8194512242362613,[0.0005]
61,62,0.35358749826749164,0.20562073446455456,0.8187057546206883,[0.0005]
62,63,0.33753667558942524,0.20311715205510458,0.8218992522784642,[0.0005]
63,64,0.3444708564451763,0.20466815573828562,0.8217386773654393,[0.0005]
64,65,0.3334305946316038,0.19827578465143839,0.8220891470000857,[0.0005]
65,66,0.33986655729157583,0.19992881161825998,0.8252841205823989,[0.0005]
66,67,0.31998309847854434,0.18760734796524048,0.8282757855596996,[0.0005]
67,68,0.32563199457668124,0.1922736849103655,0.8274194654964265,[0.0005]
68,69,0.3234606285889943,0.19133295899345762,0.827129928838639,[0.0005]
69,70,0.3333589001780465,0.19524737766810826,0.8234348467418126,[0.0005]
70,71,0.3245988346281506,0.1938910172099159,0.8263725950604394,[0.0005]
71,72,0.3120445580709548,0.18346425181343443,0.8286791415441603,[0.0005]
72,73,0.342275470495224,0.20115246091570174,0.8210201632408869,[0.0005]
73,74,0.33007777730623883,0.19235135260082425,0.8277490224157061,[0.0005]
74,75,0.3111805873257773,0.18288390125547135,0.8333477775255839,[0.0005]
75,76,0.3151051856222607,0.18702824342818486,0.8319188129334223,[0.0005]
76,77,0.3103639100279127,0.178675183228084,0.8338373899459839,[0.0005]
77,78,0.31597057978312176,0.18823484012058803,0.8313984047798884,[0.0005]
78,79,0.3168906895887284,0.1870853276479812,0.8311591488974435,[0.0005]
79,80,0.32357007761796314,0.19161813883554368,0.8291228924478803,[0.0005]
80,81,0.3151370088259379,0.18388999359948294,0.831976246266138,[0.0005]
81,82,0.3070477225950786,0.1805758618173145,0.8332876421156383,[0.0005]
82,83,0.31504807869593304,0.18530589909780593,0.832842903477805,[0.0005]
83,84,0.30699385489736286,0.17777263550531297,0.838718919526963,[0.0005]
84,85,0.29673013658750624,0.1755850911140442,0.8393868066015697,[0.0005]
85,86,0.30020391870112645,0.17543697924841017,0.8360381864366078,[0.0005]
86,87,0.2934057272615887,0.17391301336742582,0.8413804372151693,[0.0005]
87,88,0.3025002138955252,0.17427978912989298,0.8356225320271083,[0.0005]
88,89,0.29903049483185723,0.17470690749940418,0.8391121540750776,[0.0005]
89,90,0.3011208403678167,0.1785058095341637,0.836594371568589,[0.0005]
90,91,0.3092204751003356,0.17832985662278675,0.8362264406113398,[0.0005]
91,92,0.2946717419794628,0.17106729745864868,0.8413173187346685,[0.0005]
92,93,0.295280607683318,0.17417641764595396,0.8390067900930133,[0.0005]
93,94,0.30193913195814404,0.1776117654073806,0.8391949789864677,[0.0005]
94,95,0.2906916148605801,0.1716510880561102,0.8409454340026492,[0.0005]
95,96,0.28732877331120626,0.1689582665761312,0.8429457488514128,[0.0005]
96,97,0.283892470456305,0.16694767418361844,0.8454259435335795,[0.0005]
97,98,0.2892366661911919,0.1692707141240438,0.8426126525515601,[0.0005]
98,99,0.29291790085179464,0.17202948672430857,0.837773152760097,[0.0005]
99,100,0.28016973322346095,0.16326722076960973,0.8459024514470782,[0.0005]
100,101,0.27778133891877677,0.16319142069135392,0.8474585924829755,[0.0005]
101,102,0.2803229505107516,0.16396345694859824,0.8463501334190369,[0.0005]
102,103,0.27931507925192517,0.1634134082567124,0.8455622281347003,[0.0005]
103,104,0.27261567470573245,0.16165129911331905,0.8478159620648339,[0.0005]
104,105,0.2791407236031124,0.1644527997289385,0.8482420103890556,[0.0005]
105,106,0.29480819475083125,0.17094676267533077,0.840851244472322,[0.0005]
106,107,0.2765072335799535,0.16299001092002505,0.8458928295544216,[0.0005]
107,108,0.28479258503232685,0.16690467652820407,0.8454275102842421,[0.0005]
108,109,0.28387778926463353,0.1671816564741589,0.8446086134229388,[0.0005]
109,110,0.2833267485811597,0.1669384865533738,0.8455584219523838,[0.0005]
110,111,0.27937800756522585,0.1642758874666123,0.8447476029396057,[0.0005]
111,112,0.2648208567074367,0.1548091002873012,0.8510623602640062,[0.0005]
112,113,0.2696330916313898,0.1574977778253101,0.8522517737888154,[0.0005]
113,114,0.27502750144118354,0.1618450851667495,0.8502530001458668,[0.0005]
114,115,0.27365017859708696,0.16103282428923107,0.8494300984200978,[0.0005]
115,116,0.2802413418179467,0.16524881408328101,0.8456786700657436,[0.0005]
116,117,0.2728024047045481,0.16038233325594947,0.8506680045809064,[0.0005]
117,118,0.26947935989924837,0.15815204949606032,0.8493297979945228,[0.0005]
118,119,0.2778996910367693,0.1618256824357169,0.8453157600902376,[0.0005]
119,120,0.269208468851589,0.15667180787949336,0.8520651488077073,[0.0005]
120,121,0.28160741002786727,0.1648722631590707,0.8464710684049697,[0.0005]
121,122,0.27581284443537396,0.16120486883890062,0.8472443336532229,[0.0005]
122,123,0.26919660185064587,0.15692434992109025,0.849515267780849,[0.0005]
123,124,0.268064945936203,0.15648930981045678,0.851817494346982,[0.0005]
124,125,0.2710075094586327,0.1582116995538984,0.8491598992120653,[0.0005]
125,126,0.2743744289591199,0.161787402062189,0.850702566759927,[0.0005]
126,127,0.2792055933248429,0.1605133925165449,0.8479950569924855,[0.0005]
127,128,0.26055993210701717,0.15224223193668185,0.8532642864045643,[0.0005]
128,129,0.26478766188735053,0.15620796453385127,0.8524950969786871,[0.0005]
129,130,0.279373960126014,0.1612026606287275,0.8486457892826625,[0.0005]
