,epoch,loss,DICE,IoU,lr
0,1,1.5043380748141895,0.7979541420936584,0.33521964333274146,[0.001]
1,2,1.4305126016790217,0.776170860637318,0.4175126092000441,[0.001]
2,3,1.367776025425304,0.7592212639071725,0.4676306518641385,[0.001]
3,4,1.2734621925787493,0.7210445160215552,0.539325241338123,[0.001]
4,5,1.199207609350031,0.6774475384842266,0.584822497584603,[0.001]
5,6,1.1262339407747441,0.6506677324121649,0.6142973737283186,[0.001]
6,7,1.049652787772092,0.6175211342898282,0.6533195836977526,[0.001]
7,8,0.9378066767345775,0.5579583157192577,0.6811252344738353,[0.001]
8,9,0.8811930499293588,0.5218411927873438,0.6912807957692579,[0.001]
9,10,0.8083962798118591,0.4844672815366225,0.7053587761792269,[0.001]
10,11,0.788637562231584,0.47633948109366675,0.7125599980354309,[0.0005]
11,12,0.7445751293139025,0.4506842385638844,0.7195239717310126,[0.0005]
12,13,0.7488505786115472,0.4591997563838959,0.7183557559143413,[0.0005]
13,14,0.7154187316244299,0.4323310852050781,0.7236435657197778,[0.0005]
14,15,0.6837175488471985,0.4241300171071833,0.7336216135458513,[0.0005]
15,16,0.6280700699849562,0.3969312039288608,0.7483476915142753,[0.0005]
16,17,0.6124702068892393,0.38252739201892505,0.7463905648751692,[0.0005]
17,18,0.5960324704647064,0.3733601461757313,0.7492018910971555,[0.0005]
18,19,0.5739360532977364,0.35667225447568024,0.7606004070151936,[0.0005]
19,20,0.561546955596317,0.34299591996453027,0.7576789530840787,[0.0005]
20,21,0.5458782504905354,0.33365329287268897,0.7615435150536624,[0.00025]
21,22,0.5338224335150286,0.3242176987908103,0.7681397822770205,[0.00025]
22,23,0.5372698510235007,0.33473061702468176,0.765471642667597,[0.00025]
23,24,0.5139275721528314,0.3163641962138089,0.7736104726791382,[0.00025]
24,25,0.5435967418280515,0.33120242844928394,0.7610246186906641,[0.00025]
25,26,0.5000922530889511,0.31094012477181177,0.7746290429071947,[0.00025]
26,27,0.4927650744264776,0.3083365857601166,0.7735732577063821,[0.00025]
27,28,0.5110185661099174,0.30958330089395697,0.7702052972533486,[0.00025]
28,29,0.5043326643380251,0.31623693758791144,0.7691106552427466,[0.00025]
29,30,0.5065192526037042,0.31134849515828217,0.7695918137376959,[0.00025]
30,31,0.4906414625319568,0.30131036855957727,0.7723179649222981,[0.00025]
31,32,0.4630692357366735,0.28445091301744635,0.783868437463587,[0.00025]
32,33,0.47466157512231305,0.2932346056808125,0.7753473953767256,[0.00025]
33,34,0.4789933521639217,0.300825297832489,0.7720069478858601,[0.00025]
34,35,0.4586921009150418,0.28480795567685907,0.78095588629896,[0.00025]
35,36,0.4543419954451648,0.275630921125412,0.7844529341567646,[0.00025]
36,37,0.4593476341529326,0.27700426361777564,0.7858479266816919,[0.00025]
37,38,0.4598757732998241,0.2800662327896465,0.7788384800607507,[0.00025]
38,39,0.4657324200326746,0.28316913138736377,0.7787173796783794,[0.00025]
