,epoch,loss,DICE,IoU,lr
0,1,1.5004854906689038,0.7949800762263212,0.32388933341611514,[0.001]
1,2,1.4094623543999412,0.7581304013729095,0.4561073712327264,[0.001]
2,3,1.3250990455800837,0.7279733609069478,0.5013051385229285,[0.001]
3,4,1.2344175739721819,0.6894574978134849,0.5724116103215651,[0.001]
4,5,1.1581221602179788,0.6528152200308713,0.609306587414308,[0.001]
5,6,1.0782225023616443,0.6232113431800496,0.6444806050170552,[0.001]
6,7,1.0322083776647395,0.5900522714311426,0.6551941145550121,[0.001]
7,8,0.9638336923989382,0.5701749324798584,0.6763397536494515,[0.001]
8,9,0.8826996738260443,0.5330157279968262,0.6991904052821073,[0.001]
9,10,0.815491034225984,0.48968821222131903,0.7130151282657277,[0.001]
10,11,0.772625598040494,0.4670079323378476,0.7157787111672488,[0.0005]
11,12,0.7468317720023069,0.45183578404513275,0.7258032424883409,[0.0005]
12,13,0.7293370311910455,0.4435578259554776,0.7270882427692413,[0.0005]
13,14,0.6919767585667697,0.42706226489760657,0.7363954647020861,[0.0005]
14,15,0.6689746948805723,0.40243144739757886,0.7421043731949546,[0.0005]
15,16,0.6514498293399811,0.40625935251062567,0.7443205145272341,[0.0005]
16,17,0.6372154951095581,0.39219641143625433,0.7452113953503695,[0.0005]
17,18,0.6196594969792799,0.3873453709212216,0.7460844137451865,[0.0005]
18,19,0.5759540945291519,0.3592764139175415,0.7543941194360907,[0.0005]
19,20,0.5903185253793543,0.36897689375010406,0.7524153319272128,[0.0005]
20,21,0.5905136520212347,0.3603127192367207,0.7517498298124834,[0.00025]
21,22,0.5746520134535703,0.36179120161316614,0.7559286897832697,[0.00025]
22,23,0.5641927868127823,0.3477019965648651,0.7542464164170352,[0.00025]
23,24,0.5431465872309424,0.3393038348718123,0.7623820304870605,[0.00025]
24,25,0.5471903099255129,0.33649921959096735,0.7620293579318307,[0.00025]
25,26,0.52229850536043,0.32069477709856903,0.7652875645594164,[0.00025]
26,27,0.5218698517842726,0.3184845501726324,0.7628348442641172,[0.00025]
27,28,0.5047682442448356,0.30992585962468927,0.7670190523971211,[0.00025]
28,29,0.5085228153250434,0.31396479227326135,0.7637685997919603,[0.00025]
29,30,0.5002755468541925,0.3112048940225081,0.7674579484896227,[0.00025]
30,31,0.5150925232605501,0.31119418957016687,0.7606577222997492,[0.00025]
31,32,0.4764503768899224,0.2908827391537753,0.7756585370410572,[0.00025]
32,33,0.5017619214274667,0.3095222332260825,0.7692508128556338,[0.00025]
33,34,0.4944602305238897,0.30970200625332917,0.7689096304503354,[0.00025]
34,35,0.478805192492225,0.2930526841770519,0.7754456861452623,[0.00025]
35,36,0.4677198664708571,0.28589305010708893,0.7740888649767096,[0.00025]
36,37,0.4698458137837323,0.29220776666294446,0.7755606066096913,[0.00025]
37,38,0.47383014586838806,0.2920751463283192,0.7690633535385132,[0.00025]
38,39,0.45961824872277,0.2804411866448142,0.7754598395390944,[0.00025]
39,40,0.46331932192498987,0.2852197560397061,0.7738589725711129,[0.00025]
40,41,0.4577874405817552,0.2807792668992823,0.7745585549961437,[0.00025]
41,42,0.4421383738517761,0.2760129814798182,0.7793923318386078,[0.00025]
42,43,0.44816432757811114,0.27448479424823413,0.7752796276049181,[0.00025]
43,44,0.4533381082794883,0.27656175602566113,0.7782604369250211,[0.00025]
44,45,0.46013266796415503,0.2865052412856709,0.7774366980249231,[0.00025]
45,46,0.4491715959527276,0.27938933264125476,0.7750594995238564,[0.00025]
46,47,0.4428129372271625,0.27578832615505566,0.7778481597250159,[0.00025]
47,48,0.43486236984079535,0.2676017365672372,0.7836709997870706,[0.00025]
48,49,0.4373241134665229,0.26928204839879816,0.7818716656077992,[0.00025]
49,50,0.4372333694588054,0.2657965069467371,0.7779478810050271,[0.00025]
50,51,0.44560945304957306,0.2705360867760398,0.7769966288046404,[0.00025]
51,52,0.4341966374353929,0.2665614837949926,0.7780679545619271,[0.00025]
52,53,0.42491992630741815,0.26166448809883813,0.7793384356932207,[0.00025]
53,54,0.42386224459518085,0.2602060843597759,0.7798457091504877,[0.00025]
54,55,0.45277557047930633,0.2738919420675798,0.7750898437066511,[0.00025]
55,56,0.4257981668819081,0.2631448209285736,0.781186347657984,[0.00025]
56,57,0.424481293017214,0.2588972259651531,0.7850747948343103,[0.00025]
57,58,0.4065150293436917,0.25037549300627276,0.7904614941640333,[0.00025]
58,59,0.4233497218652205,0.2577197714285417,0.7834354882890527,[0.00025]
59,60,0.41362282498316333,0.2624129490418868,0.787637163292278,[0.00025]
60,61,0.414952507073229,0.2551639405163852,0.7835699265653436,[0.00025]
61,62,0.41785078698938544,0.2575334039601413,0.7830737937580455,[0.00025]
62,63,0.4149735055186532,0.25081596862186084,0.7825914404608987,[0.00025]
63,64,0.40330538153648376,0.24558721076358447,0.7854536365378987,[0.00025]
64,65,0.41007565232840454,0.2465260164304213,0.7886017642237924,[0.00025]
65,66,0.39141771603714337,0.2405266978523948,0.7908130288124084,[0.00025]
66,67,0.3940900211984461,0.23850381916219537,0.792850215326656,[0.00025]
67,68,0.38958403739062225,0.24068211154504257,0.7910919053988024,[0.00025]
68,69,0.4049235948107459,0.24977319619872354,0.7875540798360651,[0.00025]
69,70,0.4070917625318874,0.24860806627707047,0.7867996855215593,[0.00025]
70,71,0.3938112272457643,0.24168926748362454,0.7923253774642944,[0.00025]
71,72,0.4078751490874724,0.24777873266826977,0.7809752930294384,[0.00025]
72,73,0.40040511705658655,0.2482986179265109,0.7875790216706016,[0.00025]
73,74,0.4012690484523773,0.24031627449122342,0.7889752279628407,[0.00025]
74,75,0.39323188906366174,0.23990314115177502,0.7924189621751959,[0.00025]
75,76,0.38400326669216156,0.23683897744525562,0.7886715693907305,[0.00025]
76,77,0.3938170630823482,0.24298217621716586,0.7914161058989438,[0.00025]
77,78,0.38296794620427216,0.23537681048566644,0.7959040891040455,[0.00025]
78,79,0.3849677497690374,0.239029123024507,0.789568613875996,[0.00025]
79,80,0.38790571012280206,0.2385502593083815,0.7916028662161394,[0.00025]
80,81,0.38732892816716974,0.2363230369307778,0.7873905815861442,[0.00025]
81,82,0.3867752944881266,0.2402155941182917,0.7899264015934684,[0.00025]
82,83,0.39353342625227844,0.23939847946166992,0.7928397059440613,[0.00025]
83,84,0.38482027568600397,0.2353389019315893,0.7899248139424757,[0.00025]
84,85,0.37204291874712164,0.23043260249224576,0.8001088093627583,[0.00025]
85,86,0.3805061375552958,0.23230315609411759,0.7939818420193412,[0.00025]
86,87,0.37599083374847064,0.23071940649639477,0.7897412885319103,[0.00025]
87,88,0.36058925227685407,0.22086442600597034,0.8019804358482361,[0.00025]
88,89,0.3763792338696393,0.22963278943842108,0.7926008836789564,[0.00025]
89,90,0.3930079381574284,0.24419012394818393,0.7903077385642312,[0.00025]
90,91,0.3622654906728051,0.22512796792117032,0.7949975701895627,[0.00025]
91,92,0.3696495768698779,0.22629485076124017,0.7958321083675731,[0.00025]
92,93,0.35690290413119574,0.21834614060141824,0.7997765730727803,[0.00025]
93,94,0.36203850399364124,0.22233090617439963,0.7998623549938202,[0.00025]
94,95,0.3688387085090984,0.22118595513430508,0.7983711118047888,[0.00025]
95,96,0.3656115884130651,0.22359807112000205,0.7974575893445448,[0.00025]
