,epoch,loss,DICE,IoU,lr
0,1,1.497041187503121,0.7943078144030138,0.3251446709036827,[0.001]
1,2,1.4236262115565212,0.7644715552980249,0.4318789406256242,[0.001]
2,3,1.32348125631159,0.7220357250083577,0.49797207794406195,[0.001]
3,4,1.2425644993782043,0.6842890029603784,0.5683728199113499,[0.001]
4,5,1.1391379670663313,0.6405036747455597,0.6147991120815277,[0.001]
5,6,1.1079118116335436,0.6223745562813499,0.6272484294392846,[0.001]
6,7,1.033884966915304,0.6052776385437358,0.6566041328690269,[0.001]
7,8,0.945659959858114,0.5568240908059207,0.685784169218757,[0.001]
8,9,0.9043080698360096,0.5299889445304871,0.693871563131159,[0.001]
9,10,0.861563425172459,0.5223804089156064,0.6955035816539418,[0.001]
10,11,0.802425972440026,0.48165237632664765,0.7163406177000566,[0.0005]
11,12,0.7678133411840959,0.4630188129164956,0.7160169969905507,[0.0005]
12,13,0.7525284534150903,0.4617231515320865,0.7184697931463068,[0.0005]
13,14,0.7169916060837832,0.44097385894168506,0.7284087592905218,[0.0005]
14,15,0.7043078514662656,0.43337309631434356,0.7260314930569042,[0.0005]
15,16,0.691664376042106,0.4270424707369371,0.7315561446276578,[0.0005]
16,17,0.660249265757474,0.4182316010648554,0.7336080534891649,[0.0005]
17,18,0.6535356180234388,0.3997043885967948,0.735911797393452,[0.0005]
18,19,0.6264296038584276,0.39522365819324146,0.7375270561738447,[0.0005]
19,20,0.5874872939153151,0.357623043385419,0.7468294690955769,[0.0005]
20,21,0.6090705855326219,0.37616050243377686,0.7410300319845026,[0.0005]
21,22,0.5709627189419486,0.35483555089343677,0.7514218254522844,[0.0005]
22,23,0.5356160415844484,0.3372017361901023,0.7625156153332103,[0.0005]
23,24,0.5465235168283636,0.33978388526222925,0.7574059421365912,[0.0005]
24,25,0.5220010795376517,0.3291702758182179,0.7585165365175768,[0.0005]
25,26,0.5197042904116891,0.3220030963420868,0.7629773670976813,[0.0005]
26,27,0.5175184946168553,0.3223858719522303,0.7599909847432916,[0.0005]
27,28,0.5022744861516085,0.310727441852743,0.7640996358611367,[0.0005]
28,29,0.4913659922101281,0.301013629544865,0.7674910046837546,[0.0005]
29,30,0.4794762229377573,0.2975105074318973,0.7663570263169028,[0.0005]
