,epoch,loss,DICE,IoU,lr
0,1,1.4683842829295568,0.7704047078178042,0.35181048796290443,[0.001]
1,2,1.3815693344388689,0.7378232904842922,0.44540401867457796,[0.001]
2,3,1.2950844821475802,0.6983770983559745,0.5088814695676168,[0.001]
3,4,1.1733701115562802,0.6437033187775385,0.5924524920327323,[0.001]
4,5,1.097558938321613,0.6045018037160238,0.6276434801873707,[0.001]
5,6,1.032664994398753,0.5761215771947589,0.6594902986571902,[0.001]
6,7,0.9633304278055826,0.5434391981079465,0.669749276978629,[0.001]
7,8,0.8581561048825582,0.4856730160259065,0.7055476620083764,[0.001]
8,9,0.8302312351408458,0.4760279854138692,0.7058814309892201,[0.001]
9,10,0.794508056981223,0.449933994384039,0.7203024143264407,[0.001]
10,11,0.7394306489399501,0.42718074435279485,0.7317700726645333,[0.0005]
11,12,0.7077378119741168,0.40652332703272503,0.7368445453189668,[0.0005]
12,13,0.6859539179574876,0.3903969866888864,0.7460114246322995,[0.0005]
13,14,0.6569758767173404,0.3809839203244164,0.7529536343756176,[0.0005]
14,15,0.6324294550078255,0.3681454062461853,0.7544659745125544,[0.0005]
15,16,0.6241956353187561,0.35787148986543926,0.7609766608192807,[0.0005]
16,17,0.6069062863077436,0.3453554284004938,0.7627594357445127,[0.0005]
17,18,0.587045179946082,0.34033494620096116,0.7649930545261928,[0.0005]
18,19,0.5739187853676933,0.32593449240639094,0.7695264078321911,[0.0005]
19,20,0.5349914005824498,0.3161025189218067,0.7693712115287781,[0.0005]
20,21,0.5383495319457281,0.3090877277510507,0.7758673372722807,[0.0005]
21,22,0.5248663482211885,0.2992469952220008,0.7800635667074294,[0.0005]
22,23,0.5032622686454228,0.28972370567775907,0.7816491864976429,[0.0005]
23,24,0.5019505761918568,0.28821763538178946,0.7830787840343657,[0.0005]
24,25,0.4710109177089873,0.27658244257881526,0.7880982983679998,[0.0005]
25,26,0.47438018378757296,0.274088822659992,0.7878631552060446,[0.0005]
26,27,0.47126150131225586,0.2747505392347063,0.7879618690127418,[0.0005]
27,28,0.46472001501492094,0.2712673402967907,0.7865338722864786,[0.0005]
28,29,0.46962126805668786,0.2731687710398719,0.7850827716645741,[0.0005]
29,30,0.4554256952944256,0.2618785869507563,0.7919083407946995,[0.0005]
30,31,0.4483219612212408,0.2568116102899824,0.7947418945176261,[0.0005]
31,32,0.44286721093314035,0.2552496138073149,0.7935629912785122,[0.0005]
32,33,0.419723683879489,0.24628221421014695,0.7977310419082642,[0.0005]
33,34,0.42391196319035124,0.2501454296566191,0.7984894599233355,[0.0005]
34,35,0.4138966458184378,0.24229603721981957,0.8014070249739147,[0.0005]
35,36,0.42060697646368117,0.24132424876803443,0.7978112527302333,[0.0005]
36,37,0.4078863390854427,0.23985167344411215,0.7998841688746497,[0.0005]
37,38,0.41638892321359544,0.2405476343064081,0.8013323715754918,[0.0005]
38,39,0.39589785252298626,0.2358643128758385,0.8031099552199954,[0.0005]
39,40,0.39139576469148907,0.23220174369357882,0.8085999261765253,[0.0005]
40,41,0.3974658633981432,0.23515345936729795,0.8048911208198184,[0.0005]
41,42,0.39353613484473454,0.22991435016904557,0.8078328711645943,[0.0005]
42,43,0.38680230719702585,0.2288521272795541,0.8075843226341974,[0.0005]
43,44,0.3743980186326163,0.22151690153848558,0.8093159028462001,[0.0005]
44,45,0.3893726170063019,0.2289761986051287,0.808233346257891,[0.0005]
45,46,0.37063880051885334,0.21489414998463222,0.8118537834712437,[0.0005]
46,47,0.3641077209086645,0.21293010881968907,0.814655479930696,[0.0005]
47,48,0.36964866802805946,0.2191202470234462,0.8119167912574041,[0.0005]
48,49,0.35812837595031377,0.20949552740369523,0.8174233067603338,[0.0005]
49,50,0.3531436522801717,0.20693181526093257,0.8179098310924712,[0.0005]
50,51,0.3480177592663538,0.20530832949138822,0.8200240021660214,[0.0005]
51,52,0.3600440408502306,0.2095663065002078,0.8162960722332909,[0.0005]
52,53,0.34316191928727285,0.20106559991836548,0.8224245309829712,[0.0005]
53,54,0.3449456904615675,0.20272835379555113,0.8224576569738842,[0.0005]
54,55,0.34636555966876803,0.20542821430024646,0.8195676150776091,[0.0005]
55,56,0.3322880807377043,0.19601540622257052,0.8257424859773546,[0.0005]
56,57,0.33981414919807795,0.20322692394256592,0.8203627523921785,[0.0005]
57,58,0.3434600361755916,0.19936054377328782,0.8218416741916111,[0.0005]
