,epoch,loss,DICE,IoU,lr
0,1,1.4810993508859114,0.7725350206548517,0.31687104363333096,[0.001]
1,2,1.3845189159566706,0.7343595678156073,0.4339413751255382,[0.001]
2,3,1.304323207248341,0.7024847919290717,0.4943404251878912,[0.001]
3,4,1.2080246643586592,0.6517647802829742,0.560897481712428,[0.001]
4,5,1.1163321029056201,0.6071593842723153,0.6162460337985646,[0.001]
5,6,1.0543580705469304,0.584811037236994,0.6424578428268433,[0.001]
6,7,0.9835352328690615,0.5533522313291376,0.6649478863586079,[0.001]
7,8,0.923638251694766,0.5104657194831155,0.684479607777162,[0.001]
8,9,0.8940708041191101,0.5038171681490812,0.6924388300288807,[0.001]
9,10,0.8471258607777682,0.49950275637886743,0.6970574774525382,[0.001]
10,11,0.7852238010276448,0.4617557037960399,0.7165720815008337,[0.0005]
11,12,0.7700684504075483,0.4590160684152083,0.7218322184952822,[0.0005]
12,13,0.7494397380135276,0.43488444794308057,0.7237440130927346,[0.0005]
13,14,0.7147462368011475,0.4221407716924494,0.7340025928887454,[0.0005]
14,15,0.6896916411139749,0.4052922779863531,0.7321984198960391,[0.0005]
15,16,0.646851199594411,0.38988022912632336,0.7455661676146768,[0.0005]
16,17,0.6503099257295782,0.38139396093108435,0.7429481880231337,[0.0005]
17,18,0.6520754830403761,0.39218150214715436,0.7402707798914476,[0.0005]
18,19,0.5980596352707256,0.3687372614036907,0.7558443654667247,[0.0005]
19,20,0.6003978008573706,0.36354493552988226,0.7502436773343519,[0.0005]
20,21,0.5920123471455141,0.3547406711361625,0.7601032880219546,[0.0005]
21,22,0.5737778747623618,0.349667180668224,0.7597402903166685,[0.0005]
22,23,0.5466951429843903,0.3292964832349257,0.7661755735223944,[0.0005]
23,24,0.5532981468872591,0.3326433544809168,0.762633968483318,[0.0005]
24,25,0.549019534479488,0.33224716782569885,0.7606650509617545,[0.0005]
25,26,0.5024321228265762,0.3099752962589264,0.776593105359511,[0.0005]
26,27,0.5107696273110129,0.30737200379371643,0.7708180140365254,[0.0005]
27,28,0.5125494653528387,0.3143951107155193,0.77422342246229,[0.0005]
28,29,0.5145773711529645,0.3088016211986542,0.7739788456396623,[0.0005]
29,30,0.5060700462623076,0.30982663414695044,0.7764758576046337,[0.0005]
30,31,0.4891840707172047,0.29336717182939703,0.7795268080451272,[0.0005]
31,32,0.4537241377613761,0.2699619910933755,0.785113201899962,[0.0005]
32,33,0.45708687061613257,0.273777880451896,0.7850200750611045,[0.0005]
33,34,0.4562721929766915,0.2731438333337957,0.7910608107393439,[0.0005]
34,35,0.45885938812385907,0.2729454419829629,0.7833613346923481,[0.0005]
35,36,0.4705856334079396,0.28012798591093585,0.7814041972160339,[0.0005]
36,37,0.4379085613922639,0.2642077586867593,0.7952639541842721,[0.0005]
37,38,0.4261165491559289,0.2536457804116336,0.7953776906837117,[0.0005]
38,39,0.43077457357536664,0.25519342855973676,0.7954179509119554,[0.0005]
39,40,0.4215817857872356,0.249559378082102,0.7969758862798865,[0.0005]
40,41,0.4008758223869584,0.2356984479860826,0.8031639836051248,[0.0005]
41,42,0.4102704877203161,0.23946542902426285,0.7983900877562436,[0.0005]
42,43,0.4040130539373918,0.23998266729441556,0.8013295748017051,[0.0005]
43,44,0.41665505346926773,0.24489348314025186,0.8005480170249939,[0.0005]
44,45,0.3954019681973891,0.2327619113705375,0.8075891543518413,[0.0005]
45,46,0.399506078525023,0.2362181842327118,0.8045987595211376,[0.0005]
46,47,0.41233956001021643,0.23852407390421088,0.8040381046858701,[0.0005]
47,48,0.40949924967505713,0.24288990009914746,0.7993198064240542,[0.0005]
48,49,0.4075445817275481,0.2419861148704182,0.8034615462476556,[0.0005]
49,50,0.37632297521287744,0.22455151785503735,0.8111347556114197,[0.0005]
50,51,0.39319212328303943,0.23608684268864719,0.8096190907738425,[0.0005]
51,52,0.3930727690458298,0.2314729013226249,0.8073803186416626,[0.0005]
52,53,0.3785929463126443,0.22446550835262646,0.8129879127849232,[0.0005]
53,54,0.37527885220267554,0.22519184242595325,0.8118933818557046,[0.0005]
54,55,0.3559149354696274,0.2111921337517825,0.8178028572689403,[0.0005]
55,56,0.36640543151985516,0.21387182853438638,0.8168331628495996,[0.0005]
56,57,0.3789788796143098,0.22055751356211575,0.8093812248923562,[0.0005]
57,58,0.362877374345606,0.2153192162513733,0.8187553665854714,[0.0005]
58,59,0.36176374690099194,0.21421238509091464,0.8168204778974707,[0.0005]
59,60,0.36193635856563394,0.2094645310531963,0.8139596798203208,[0.0005]
60,61,0.37462893534790387,0.22145988724448465,0.8118142214688387,[0.0005]
61,62,0.37179407612843945,0.21320720152421432,0.8104100281541998,[0.0005]
62,63,0.35575118931857025,0.2097336541522633,0.8205501626838337,[0.0005]
63,64,0.345640323378823,0.19952041723511435,0.8230465921488676,[0.0005]
64,65,0.3556551973928105,0.20828309655189514,0.8218676556240428,[0.0005]
65,66,0.376931333406405,0.22327598116614603,0.815092921257019,[0.0005]
66,67,0.35791444236581976,0.21012189171530984,0.8211523429913954,[0.0005]
67,68,0.348843823779713,0.2063748132098805,0.820385911247947,[0.0005]
68,69,0.356325664980845,0.2076383802023801,0.819250001148744,[0.0005]
69,70,0.33394121581857855,0.2008592730218714,0.8285684937780554,[0.0005]
70,71,0.3334176702932878,0.1970758546482433,0.8273822936144742,[0.0005]
71,72,0.33746233582496643,0.19855407964099536,0.8243408311497081,[0.0005]
72,73,0.3346926746043292,0.1981114555488933,0.8276033266024156,[0.0005]
73,74,0.3352944559671662,0.19524371082132513,0.8264620006084442,[0.0005]
74,75,0.33159555901180615,0.195864428173412,0.8259566182439978,[0.0005]
75,76,0.335731792179021,0.19175916639241306,0.825836409221996,[0.0005]
76,77,0.32700165157968347,0.19346433877944946,0.8307085010138425,[0.0005]
77,78,0.3383155871521343,0.19446321509101175,0.8247287246313962,[0.0005]
78,79,0.3430813198739832,0.20119026845151727,0.8223659612915732,[0.0005]
79,80,0.3400104452263225,0.19859482212500137,0.8238607347011566,[0.0005]
80,81,0.3311832696199417,0.19164707173000683,0.82665215568109,[0.0005]
81,82,0.31959423422813416,0.18953681533986871,0.8330585821108385,[0.0005]
82,83,0.3224227889017625,0.19235568154941907,0.8310528180815957,[0.0005]
83,84,0.33645358004353265,0.19586913694034924,0.8260752748359333,[0.0005]
84,85,0.33492568880319595,0.19495323300361633,0.8264242464845831,[0.0005]
85,86,0.32675455849279056,0.19035008278760043,0.8318798216906461,[0.0005]
86,87,0.31545785340395843,0.18608065084977585,0.8325149389830503,[0.0005]
87,88,0.31477078795433044,0.183380741964687,0.8341694284569133,[0.0005]
88,89,0.3175432478839701,0.18664519624276596,0.8303538696332411,[0.0005]
89,90,0.3209660202264786,0.18748763745481317,0.8317305987531488,[0.0005]
90,91,0.3150404434312474,0.1855504566972906,0.827796532349153,[0.0005]
91,92,0.3374653986909173,0.20293142036958176,0.8295459638942372,[0.0005]
92,93,0.3121016282926906,0.18480178171938116,0.8354206762530587,[0.0005]
93,94,0.3161024417389523,0.18578626892783426,0.8352947180921381,[0.0005]
94,95,0.3084778677333485,0.18162487040866504,0.8369254171848297,[0.0005]
95,96,0.3053324310617013,0.17575025829401883,0.8404922106049277,[0.0005]
96,97,0.3098021285100417,0.18193636970086532,0.8360764438455756,[0.0005]
97,98,0.3015475002202121,0.1768352660265836,0.8385479260574688,[0.0005]
98,99,0.3403991555625742,0.20283762433312155,0.8272046175870028,[0.0005]
99,100,0.3268438848582181,0.19317056103186173,0.830869506705891,[0.0005]
100,101,0.29547290774908935,0.17446552352471786,0.8408135609193281,[0.0005]
101,102,0.2966019037094983,0.17497319795868613,0.8407398110086267,[0.0005]
102,103,0.2935162085023793,0.17093450372869318,0.8423982506448572,[0.0005]
103,104,0.3186054168777032,0.18318846821784973,0.8338429927825928,[0.0005]
104,105,0.3057005222548138,0.18329302289269186,0.8353966691277244,[0.0005]
105,106,0.3050655709071593,0.1815695518797094,0.8375901308926669,[0.0005]
106,107,0.3121154118667949,0.18270442702553488,0.8344361348585649,[0.0005]
107,108,0.3133371512998234,0.18315535512837497,0.8300217417153445,[0.0005]
108,109,0.3077810135754672,0.17748937010765076,0.8364343534816395,[0.0005]
109,110,0.31136504560709,0.179634381424297,0.8374535901979967,[0.0005]
110,111,0.309746997600252,0.17977137186310507,0.8402972871607001,[0.0005]
111,112,0.304395891726017,0.1748296537182548,0.8377900665456598,[0.0005]
112,113,0.3103820403868502,0.1829912229017778,0.8387890458106995,[0.0005]
113,114,0.28790383582765405,0.16863562573086133,0.840544275262139,[0.0005]
114,115,0.3088564398613843,0.18016590042547745,0.8342442566698248,[0.0005]
115,116,0.30296651883558795,0.17667149142785507,0.8397122323513031,[0.0005]
116,117,0.28160287507555704,0.16645981235937637,0.8470839668403972,[0.0005]
117,118,0.299012461846525,0.17746424674987793,0.8415481908754869,[0.0005]
118,119,0.3011439794843847,0.1708712794563987,0.841210194609382,[0.0005]
119,120,0.2922446192665534,0.16888432069258255,0.8452536734667692,[0.0005]
120,121,0.27615962719375436,0.1637533442540602,0.8443476340987466,[0.0005]
121,122,0.28978064249862323,0.16632816195487976,0.8446750071915713,[0.0005]
122,123,0.28696533224799414,0.1670696328986775,0.8459150357679888,[0.0005]
123,124,0.28330186077139596,0.16360267725857822,0.8452893685210835,[0.0005]
124,125,0.2892829166217284,0.16697147217663852,0.8430654243989424,[0.0005]
125,126,0.27722451564940537,0.16283413767814636,0.8460498343814503,[0.0005]
126,127,0.2755446203730323,0.1613159721547907,0.8492145755074241,[0.0005]
127,128,0.29017017578536813,0.16788062453269958,0.8460912596095692,[0.0005]
128,129,0.2835223065181212,0.16521590135314249,0.8466399393298409,[0.0005]
129,130,0.29885365068912506,0.17458399046551099,0.8451587341048501,[0.0005]
130,131,0.2909844869917089,0.16998657313260165,0.8409384922547773,[0.0005]
131,132,0.2837032933126796,0.16472296552224594,0.847362298857082,[0.0005]
132,133,0.2916338863697919,0.17052644762125882,0.8446417857300151,[0.0005]
133,134,0.28490945290435443,0.16792578588832507,0.8489571051164106,[0.0005]
134,135,0.27544972232796927,0.159646597775546,0.8484915223988619,[0.0005]
135,136,0.3043118573047898,0.17662486704913052,0.8396124785596674,[0.0005]
136,137,0.27640319751067594,0.16159020499749618,0.8449678393927488,[0.0005]
137,138,0.2702005756172267,0.1596259745684537,0.8483707769350572,[0.0005]
138,139,0.2788176177577539,0.16725339130921799,0.847645718942989,[0.0005]
139,140,0.27253141931512137,0.15748244794932278,0.8517170521346006,[0.0005]
140,141,0.26440395482561807,0.15377668359062888,0.853399089791558,[0.0005]
141,142,0.2655172740871256,0.15404033389958469,0.8544656255028464,[0.0005]
142,143,0.27485138787464664,0.1605879474769939,0.8501279625025663,[0.0005]
143,144,0.2956251027909192,0.17439162731170654,0.848238080739975,[0.0005]
144,145,0.286383063278415,0.16687998988411643,0.8488524556159973,[0.0005]
145,146,0.26841211454434827,0.15864173661578784,0.846895616162907,[0.0005]
146,147,0.2638178691267967,0.1560481759634885,0.8564948547970165,[0.0005]
147,148,0.27434926480054855,0.15902419523759323,0.8513264791531996,[0.0005]
148,149,0.26007352566177194,0.150509005243128,0.8559040671045129,[0.0005]
149,150,0.26395015960389917,0.15504395961761475,0.8540210696783933,[0.0005]
150,151,0.27123539217493753,0.16047428141940723,0.848999790169976,[0.0005]
151,152,0.28579028899019415,0.16523399678143588,0.8454471149227836,[0.0005]
152,153,0.27474297921765933,0.16012966361912814,0.8514352413741025,[0.0005]
153,154,0.27720301191915164,0.16549996896223587,0.8489300148053602,[0.0005]
154,155,0.26680541106245736,0.15699863704768094,0.8530229682272131,[0.0005]
155,156,0.26353285800326953,0.15237519686872308,0.8540785773233934,[0.0005]
156,157,0.30342344397848303,0.171922198750756,0.842728238214146,[0.0005]
157,158,0.2836125547235662,0.1613206917589361,0.8473919359120455,[0.0005]
158,159,0.27213790199973364,0.1591482568870891,0.8509876077825372,[0.0005]
159,160,0.2633128247477792,0.15207164125009018,0.8496920574795116,[0.0005]
160,161,0.2618437334895134,0.1545294143936851,0.8532013134522871,[0.0005]
161,162,0.25508220155130734,0.149715548211878,0.8580617796291005,[0.0005]
162,163,0.2683122368021445,0.15849243239922958,0.8526317558505319,[0.0005]
163,164,0.25203674963929434,0.14611435478383844,0.859168757091869,[0.0005]
164,165,0.25704930790446023,0.15098660371520303,0.8577805459499359,[0.0005]
165,166,0.2591598162596876,0.14648143540729175,0.8591953786936674,[0.0005]
166,167,0.25748622011054645,0.14939299767667596,0.8576146201653914,[0.0005]
