,epoch,loss,DICE,IoU,lr
0,1,1.4757001454179937,0.7726230838082053,0.3600993928584186,[0.001]
1,2,1.401675289327448,0.7481422017921101,0.4643367691473527,[0.001]
2,3,1.301309509710832,0.7069902745160189,0.5225279832428152,[0.001]
3,4,1.178180754184723,0.6373988064852628,0.599467472596602,[0.001]
4,5,1.0828520330515774,0.5933366119861603,0.6425482170148329,[0.001]
5,6,0.988184468312697,0.5525388040325858,0.6748835390264337,[0.001]
6,7,0.9096152457323942,0.5053471245548942,0.6956880173899911,[0.001]
7,8,0.856515334411101,0.47701376947489654,0.708727549422871,[0.001]
8,9,0.819941060109572,0.45942351763898676,0.7202696448022669,[0.001]
9,10,0.760416101325642,0.4191618128256364,0.7298618717627092,[0.001]
10,11,0.7341042946685444,0.4102973965081302,0.7356434058059346,[0.0005]
11,12,0.6850773339921777,0.38348455320705066,0.7447335503318093,[0.0005]
12,13,0.6855564997954802,0.364690363407135,0.7514704628424211,[0.0005]
13,14,0.6293490285223181,0.34612201018766925,0.7593649571592157,[0.0005]
14,15,0.5899429781870409,0.33062672885981476,0.7685433192686602,[0.0005]
15,16,0.5900039876049216,0.32796940207481384,0.7666239928115498,[0.0005]
16,17,0.5643741881305521,0.31568034941499884,0.7685229534452612,[0.0005]
17,18,0.564890976656567,0.29542341286485846,0.7826054990291595,[0.0005]
18,19,0.5510553636334159,0.3023449453440579,0.7716237279501829,[0.0005]
19,20,0.5361562140963294,0.28982001543045044,0.7791204994375055,[0.0005]
20,21,0.5263459885662253,0.29148421504280786,0.7829610244794325,[0.0005]
21,22,0.5306033275344155,0.29210715944116766,0.7808321064168756,[0.0005]
22,23,0.5124315782026811,0.28374419700015674,0.7847301418131049,[0.0005]
23,24,0.489888307723132,0.2778168564493006,0.7855846583843231,[0.0005]
24,25,0.48124169219623913,0.26783014698462054,0.7886793396689675,[0.0005]
25,26,0.4803458398038691,0.26573862812735816,0.7911220518025485,[0.0005]
26,27,0.4798086258498105,0.2590567794713107,0.7911062403158708,[0.0005]
27,28,0.4672877991741354,0.2577923265370456,0.7902010895989158,[0.0005]
28,29,0.47490651228211145,0.2659188454801386,0.7899323241277174,[0.0005]
29,30,0.4545873593200337,0.24712163751775568,0.7947307337414135,[0.0005]
30,31,0.4232623699036511,0.23391387137499722,0.8006791093132712,[0.0005]
31,32,0.4456105462529443,0.23852087963711133,0.8049772056666288,[0.0005]
32,33,0.46372752433473413,0.25317603620615875,0.7986605167388916,[0.0005]
33,34,0.4516983966935765,0.2609612724997781,0.7924882010980085,[0.0005]
34,35,0.4266797182234851,0.23842518437992444,0.8015624934976752,[0.0005]
35,36,0.4414486275477843,0.24855829910798508,0.7914107767018405,[0.0005]
36,37,0.41141618110916833,0.23638113249431958,0.8019546649672769,[0.0005]
37,38,0.41432417929172516,0.23134644735943188,0.8024332983927294,[0.0005]
38,39,0.41025129637934943,0.22538669271902603,0.8060192194851962,[0.0005]
39,40,0.3872373117641969,0.2149199816313657,0.8112054385922172,[0.0005]
40,41,0.381202139637687,0.21494619683785873,0.8116957572373477,[0.0005]
41,42,0.3951428072019057,0.22119920362125745,0.8100329583341425,[0.0005]
42,43,0.37481615760109643,0.21450458060611377,0.8123521723530509,[0.0005]
43,44,0.3811413293535059,0.21500050750645724,0.8107136271216653,[0.0005]
44,45,0.36235795373266394,0.2049295170740648,0.8209829953583804,[0.0005]
45,46,0.38459964096546173,0.21421245553276755,0.8145439760251478,[0.0005]
46,47,0.3734651668505235,0.21043645522811197,0.8164804144339128,[0.0005]
47,48,0.3783470351587642,0.21283270012248645,0.8142464079640128,[0.0005]
48,49,0.3624997911128131,0.20349824699488553,0.8174422058192167,[0.0005]
49,50,0.3549985641782934,0.20130819353190335,0.8178164769302715,[0.0005]
50,51,0.36430026455359027,0.2098432101986625,0.8183498436754401,[0.0005]
51,52,0.3693840435960076,0.2101346037604592,0.8180952370166779,[0.0005]
52,53,0.3576283278790387,0.20465520566160028,0.8220954699949785,[0.0005]
53,54,0.3343641324476762,0.19545901092615994,0.8264170072295449,[0.0005]
54,55,0.3729711405255578,0.197029633955522,0.8220755810087378,[0.0005]
55,56,0.3310401751236482,0.18774725903164258,0.8306220715696161,[0.0005]
56,57,0.33479849926450034,0.1895568072795868,0.8277507559819655,[0.0005]
57,58,0.33567540076645935,0.184695379300551,0.830281528559598,[0.0005]
58,59,0.35132252086292615,0.198501318693161,0.8231212252920325,[0.0005]
59,60,0.3305204293944619,0.19015990874984048,0.8238245926120065,[0.0005]
60,61,0.37818577885627747,0.2065154341134158,0.8217995383522727,[0.0005]
61,62,0.3366321921348572,0.19140011343089017,0.8273368152705106,[0.0005]
62,63,0.32814922251484613,0.18523917414925314,0.8264933634888042,[0.0005]
63,64,0.32876058329235425,0.18803417953577908,0.827817364172502,[0.0005]
64,65,0.3347276638854634,0.19251318953254007,0.8307566588575189,[0.0005]
65,66,0.3279717930338599,0.18755272843620993,0.8298803567886353,[0.0005]
66,67,0.3223080655390566,0.1824588721448725,0.8352679447694258,[0.0005]
67,68,0.3283479620109905,0.18407854708758267,0.8310636878013611,[0.0005]
68,69,0.31570637903430243,0.18071827021512119,0.8334716179154136,[0.0005]
69,70,0.3481577777049758,0.17714557593519037,0.8359722142869775,[0.0005]
70,71,0.31295310909097845,0.17681859298185867,0.8348889540542256,[0.0005]
71,72,0.31736319444396277,0.17986787991090256,0.8333099755373868,[0.0005]
72,73,0.3218028105118058,0.17976488308473068,0.8333310891281475,[0.0005]
73,74,0.3194403648376465,0.1800907768986442,0.8358087377114729,[0.0005]
74,75,0.31398172879760916,0.1817454289306294,0.8343022682450034,[0.0005]
75,76,0.315862464633855,0.17664246396584946,0.8373362449082461,[0.0005]
76,77,0.30717538026246155,0.17142668908292596,0.8376982049508528,[0.0005]
77,78,0.3051568405194716,0.17025233669714493,0.8401903510093689,[0.0005]
78,79,0.30804725804112176,0.17050672661174426,0.8400842682881788,[0.0005]
79,80,0.3045900802720677,0.169751606204293,0.8414425497705286,[0.0005]
80,81,0.294547899202867,0.16777657107873398,0.8419630527496338,[0.0005]
81,82,0.3075088628313758,0.17208212343129245,0.8394082974303853,[0.0005]
82,83,0.2935503220016306,0.16354375264861368,0.8417304672978141,[0.0005]
83,84,0.29364342107014224,0.16786571795290167,0.8409157043153589,[0.0005]
84,85,0.30434607511216943,0.1749087626283819,0.8406218967654489,[0.0005]
85,86,0.3064071028070016,0.17515704035758972,0.8361407572572882,[0.0005]
86,87,0.2979199757630175,0.17011179707267068,0.840793723409826,[0.0005]
87,88,0.3000570854002779,0.1742446395483884,0.8407420163804834,[0.0005]
88,89,0.29018337753686035,0.1643379357728091,0.8461193171414462,[0.0005]
89,90,0.3152944249185649,0.17249767888676037,0.8393655798651956,[0.0005]
90,91,0.2850387705997987,0.16496545618230646,0.845019971782511,[0.0005]
91,92,0.28809390487996017,0.1656666939908808,0.8450908769260753,[0.0005]
92,93,0.27942088314078073,0.16043603962117975,0.8469580682841215,[0.0005]
93,94,0.2894631272012537,0.16818858005783774,0.8428375666791742,[0.0005]
94,95,0.2871528017249974,0.16195352510972458,0.846802294254303,[0.0005]
95,96,0.2912867495959455,0.1662809984250502,0.840761807831851,[0.0005]
96,97,0.28828131001104007,0.16631019115447998,0.8449105755849318,[0.0005]
97,98,0.30841881510886276,0.17662798274647107,0.8397855785760012,[0.0005]
98,99,0.2927929467775605,0.1653244522484866,0.8429741615598852,[0.0005]
99,100,0.2947118126533248,0.16335922479629517,0.8424387547102842,[0.0005]
100,101,0.29064460505138745,0.16443710706450723,0.8457866202701222,[0.0005]
