,epoch,loss,DICE,IoU,lr
0,1,1.5121561288833618,0.8008826889775016,0.3158713362433694,[0.001]
1,2,1.449611636725339,0.78193138404326,0.42096338082443585,[0.001]
2,3,1.3945459452542392,0.7720020630142905,0.45194567198103125,[0.001]
3,4,1.3311210057952187,0.7409299368208105,0.49481649832292035,[0.001]
4,5,1.269216320731423,0.7172913768074729,0.5391427969390695,[0.001]
5,6,1.20355285839601,0.694601140239022,0.5880172496492212,[0.001]
6,7,1.1212944767691873,0.6531115797432986,0.6173604212023995,[0.001]
7,8,1.052968594160947,0.6199018982323733,0.6402594961903312,[0.001]
8,9,0.9775412570346486,0.5889320590279319,0.6625893766229803,[0.001]
9,10,0.9232542568987067,0.552095272324302,0.6834236789833416,[0.001]
10,11,0.8766285235231573,0.5355773947455666,0.6869889118454673,[0.0005]
11,12,0.8737602423537861,0.5323763029141859,0.6918172538280487,[0.0005]
12,13,0.7880197682163932,0.49100564284758136,0.7085022303191099,[0.0005]
13,14,0.8044660850004717,0.48544114557179535,0.7109729457985271,[0.0005]
14,15,0.7678635770624335,0.4625218998302113,0.7195316498929804,[0.0005]
15,16,0.6894605295224623,0.4248399924148213,0.7390111142938788,[0.0005]
16,17,0.674476829442111,0.4067237675189972,0.739186324856498,[0.0005]
17,18,0.6716194640506398,0.4014571552926844,0.73554328083992,[0.0005]
18,19,0.6916860856793143,0.40647187016227027,0.7414847856218164,[0.0005]
19,20,0.627955433997241,0.3862514143640345,0.748447144573385,[0.0005]
20,21,0.6021737253124063,0.36637780612165277,0.7546067129481923,[0.00025]
21,22,0.5981455079533837,0.3655233925039118,0.7560942606492476,[0.00025]
22,23,0.6005705716935071,0.3598227528008548,0.7556564022194255,[0.00025]
23,24,0.5682716410268437,0.3463373130018061,0.7607775384729559,[0.00025]
24,25,0.5584400214932181,0.33606055107983673,0.7659916931932623,[0.00025]
25,26,0.546888992190361,0.3228142559528351,0.7674932181835175,[0.00025]
26,27,0.5784398425709117,0.343372334133495,0.7575361593203112,[0.00025]
27,28,0.5385924902829257,0.3192995407364585,0.7703865360129963,[0.00025]
28,29,0.5238402025266127,0.3179240660233931,0.7689335183663801,[0.00025]
29,30,0.5365934466773813,0.3208833553574302,0.7661364484917034,[0.00025]
