,epoch,loss,DICE,IoU,lr
0,1,1.477570192380385,0.7892104495655407,0.3470155894756317,[0.001]
1,2,1.4285490729592063,0.7765880525112152,0.43950403278524225,[0.001]
2,3,1.3481484163891186,0.7517040046778592,0.49576265026222577,[0.001]
3,4,1.2716421701691367,0.7155187021602284,0.5316014967181466,[0.001]
4,5,1.222504285248843,0.6957322304899042,0.5671865587884729,[0.001]
5,6,1.161122820594094,0.6727899800647389,0.5960728851231661,[0.001]
6,7,1.1050068140029907,0.6465912190350619,0.621495786038312,[0.001]
7,8,1.028634632175619,0.6173452897505327,0.6388444683768533,[0.001]
8,9,0.9631784016435797,0.5813838324763558,0.660003350539641,[0.001]
9,10,0.8951992202888835,0.552377158945257,0.6798491721803491,[0.001]
10,11,0.8387379565022208,0.5144240666519512,0.6943132254210386,[0.0005]
11,12,0.8190060610120947,0.5117831609465859,0.7007130899212577,[0.0005]
12,13,0.7605234059420499,0.47628171877427533,0.7164076891812411,[0.0005]
13,14,0.7427193251523104,0.4665377600626512,0.7217702161182057,[0.0005]
14,15,0.7300120429559187,0.4588247104124589,0.7186015492135828,[0.0005]
15,16,0.7355505390600725,0.4584208835255016,0.7175165279345079,[0.0005]
16,17,0.6626264507120306,0.4199672964486209,0.7339108071543954,[0.0005]
17,18,0.6300960887562145,0.39430048790845,0.7407204915176738,[0.0005]
18,19,0.6150806830687956,0.38247852704741736,0.7456935129382394,[0.0005]
19,20,0.587923368269747,0.36817525733600964,0.7521722452207045,[0.0005]
20,21,0.5819000655954535,0.3632580204443498,0.7569784603335641,[0.00025]
21,22,0.5733064589175311,0.3536492044275457,0.7576363655653867,[0.00025]
22,23,0.5593820634213361,0.34506542032415216,0.7612874941392378,[0.00025]
23,24,0.5620610944249413,0.3494788814674724,0.7571413652463392,[0.00025]
24,25,0.5535712431777607,0.34362979097799823,0.757292240858078,[0.00025]
25,26,0.5248324871063232,0.3259448896754872,0.7673360786654733,[0.00025]
26,27,0.5236394635655663,0.3178689561106942,0.7671277495947751,[0.00025]
27,28,0.5143185176632621,0.31273354454474017,0.7685528776862405,[0.00025]
28,29,0.5138258351521059,0.31652109731327405,0.7688372433185577,[0.00025]
29,30,0.5308365659280256,0.3203543858094649,0.7660979276353662,[0.00025]
30,31,0.521516973322088,0.3163810291073539,0.7659917229955847,[0.00025]
31,32,0.5207921063358133,0.31816205653277313,0.7637717778032477,[0.00025]
32,33,0.5096785453232852,0.3114751225168055,0.7685277272354473,[0.00025]
