,epoch,loss,DICE,IoU,lr
0,1,1.4656884236769243,0.7736357125368986,0.3254332813349637,[0.001]
1,2,1.401967314156619,0.7481333098628304,0.42333415015177295,[0.001]
2,3,1.2975228049538352,0.6977316005663439,0.5113995237783953,[0.001]
3,4,1.1906849904493852,0.644377740946683,0.5771423334425146,[0.001]
4,5,1.11962182413448,0.6181407814676111,0.6208066831935536,[0.001]
5,6,1.0209578465331683,0.5771116993644021,0.661219754002311,[0.001]
6,7,0.9860430739142678,0.548525409264998,0.6639369075948541,[0.001]
7,8,0.9324849464676597,0.5266639319333163,0.6819209889932112,[0.001]
8,9,0.8604521778496829,0.48950470035726373,0.6998311714692549,[0.001]
9,10,0.8338072787631642,0.4704784669659354,0.7012994641607458,[0.001]
10,11,0.835624180056832,0.46814719384366815,0.707053311846473,[0.0005]
11,12,0.7962939522483132,0.45366120067509735,0.7171978408640082,[0.0005]
12,13,0.7698532288724725,0.4484887556596236,0.7158852788535032,[0.0005]
13,14,0.7388512708924033,0.4345072426579215,0.7218994742090051,[0.0005]
14,15,0.73701627146114,0.4298674193295566,0.7270689796317708,[0.0005]
15,16,0.6929662769491022,0.41298971392891626,0.7291280058297244,[0.0005]
16,17,0.678080603480339,0.3857224502346732,0.7396730347113176,[0.0005]
17,18,0.671112144535238,0.37907234647057275,0.7394479594447396,[0.0005]
18,19,0.6417274095795371,0.3689171157099984,0.7424291914159601,[0.0005]
19,20,0.6164342598481611,0.3557469871911136,0.7519820251248099,[0.0005]
20,21,0.6163165325468237,0.36004148017276416,0.7482697367668152,[0.0005]
21,22,0.5901007083329287,0.33184903589161957,0.7579494118690491,[0.0005]
22,23,0.5823203948411074,0.3268301866271279,0.7537115405906331,[0.0005]
23,24,0.5921262570402839,0.33330350843342865,0.7544581185687672,[0.0005]
24,25,0.549254370006648,0.3159362267364155,0.7632716812870719,[0.0005]
25,26,0.5376588864759966,0.30558099259029736,0.7676511894572865,[0.0005]
26,27,0.5460734353824095,0.30996600877154956,0.7599981508471749,[0.0005]
27,28,0.5250857431780208,0.2953341251069849,0.766032955863259,[0.0005]
28,29,0.547641712156209,0.3078781149604104,0.7638887654651295,[0.0005]
29,30,0.5262413526123221,0.2975810847499154,0.7679574895988811,[0.0005]
30,31,0.5096244703639637,0.28945558721368964,0.7693052291870117,[0.0005]
31,32,0.49963015385649423,0.280521498485045,0.775323664600199,[0.0005]
32,33,0.4906216697259383,0.2792571051554246,0.7743465494025837,[0.0005]
33,34,0.47090941396626557,0.26341118053956464,0.7807628864591772,[0.0005]
34,35,0.47648679397322913,0.27457995035431604,0.7793794111772017,[0.0005]
35,36,0.4789385592395609,0.273735450072722,0.7747900594364513,[0.0005]
36,37,0.45732683078809216,0.2574817348610271,0.7842229794372212,[0.0005]
37,38,0.47098964723673736,0.2611836682666432,0.7793559269471602,[0.0005]
38,39,0.48167591067877685,0.25798586823723535,0.7816540355032141,[0.0005]
39,40,0.44460841742428864,0.2575124041600661,0.782505525784059,[0.0005]
40,41,0.4445390579375354,0.2568445937200026,0.7861109917814081,[0.0005]
41,42,0.45483909953724255,0.25763853029771283,0.782589240507646,[0.0005]
42,43,0.4611468328671022,0.2727701989087192,0.7794563255526803,[0.0005]
43,44,0.4439350976185365,0.2590084834532304,0.7839449833739888,[0.0005]
44,45,0.4232648272405971,0.24473837018013,0.7870178954167799,[0.0005]
45,46,0.42416266961531207,0.24320542270487006,0.7877842865206979,[0.0005]
46,47,0.4215134951201352,0.2417045533657074,0.7910185916857286,[0.0005]
47,48,0.4069323621012948,0.23869741775772788,0.7926872779022563,[0.0005]
48,49,0.42079300772060046,0.24674669720909811,0.7852371551773765,[0.0005]
49,50,0.42459810186516156,0.24837017059326172,0.7867087559266523,[0.0005]
50,51,0.39910597557371313,0.2357812225818634,0.7939438738606193,[0.0005]
51,52,0.39102927527644415,0.23085885427214883,0.7952648780562661,[0.0005]
52,53,0.4150343605063178,0.23672642220150342,0.792627906257456,[0.0005]
53,54,0.41825704953887244,0.24627765200354837,0.7862642732533541,[0.0005]
54,55,0.4073894552209161,0.23227306387641214,0.7933588325977325,[0.0005]
55,56,0.3893059410832145,0.22852560065009378,0.7925047901543704,[0.0005]
56,57,0.3585040027445013,0.20946016636761752,0.8054675432768735,[0.0005]
57,58,0.3818781633268703,0.22486213120547208,0.7976128567348827,[0.0005]
58,59,0.3740187111225995,0.21884399110620673,0.7978632666847922,[0.0005]
59,60,0.37634954669258813,0.22084999084472656,0.7963335757905786,[0.0005]
60,61,0.3799687610431151,0.22065728090026163,0.7986015325242822,[0.0005]
61,62,0.37275655974041333,0.2126481451771476,0.7979287586428903,[0.0005]
62,63,0.3834467001936652,0.22457412698052145,0.7992011579600248,[0.0005]
63,64,0.38218421692197974,0.22714275934479453,0.7998040426861156,[0.0005]
